Section,Title,Description,Keywords
IPC 302,Murder,"Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine.","murder, kill, death, homicide, killed, murdered, fatal, deadly assault"
IPC 304,Culpable Homicide Not Amounting to Murder,Punishment for culpable homicide not amounting to murder.,"culpable homicide, unintentional death, negligent death, rash act causing death"
IPC 307,Attempt to Murder,Whoever does any act with such intention or knowledge and in such circumstances that if he caused death he would be guilty of murder.,"attempt to murder, attempted murder, tried to kill, attack, assault with intent"
IPC 323,Voluntarily Causing Hurt,Whoever voluntarily causes hurt shall be punished with imprisonment up to one year or fine up to Rs 1000 or both.,"hurt, injury, assault, beat, beaten, physical assault, violent, attacked"
IPC 324,Voluntarily Causing Hurt by Dangerous Weapons,Causing hurt by means of dangerous weapons or means.,"weapon, knife, gun, dangerous weapon, armed assault, blade, firearm"
IPC 325,Voluntarily Causing Grievous Hurt,Causing grievous hurt punishable with imprisonment up to 7 years and fine.,"grievous hurt, serious injury, severe injury, fracture, permanent damage"
IPC 354,Assault or Criminal Force to Woman with Intent to Outrage Her Modesty,Assault or use of criminal force on woman with intent to outrage her modesty.,"molestation, outrage modesty, assault woman, inappropriate touch, sexual harassment"
IPC 376,Rape,Punishment for rape - imprisonment of either description for a term of not less than 10 years.,"rape, sexual assault, forced intercourse, sexual violence, molest"
IPC 377,Unnatural Offences,Whoever voluntarily has carnal intercourse against the order of nature.,"unnatural offence, sodomy, carnal intercourse"
IPC 379,Theft,Whoever commits theft shall be punished with imprisonment up to 3 years or fine or both.,"theft, steal, stolen, robbery, burglary, took, missing, pickpocket"
IPC 380,Theft in Dwelling House,Theft in dwelling house or means of transportation or place of worship.,"house theft, home burglary, house breaking, residential theft"
IPC 392,Robbery,Whoever commits robbery shall be punished with rigorous imprisonment up to 10 years and fine.,"robbery, robbed, armed robbery, dacoity, loot, snatched"
IPC 395,Dacoity,Whoever commits dacoity shall be punished with imprisonment for life or rigorous imprisonment up to 10 years and fine.,"dacoity, gang robbery, armed gang, multiple robbers"
IPC 406,Criminal Breach of Trust,Punishment for criminal breach of trust.,"breach of trust, embezzlement, misappropriation, fraud, cheating"
IPC 420,Cheating and Dishonestly Inducing Delivery of Property,Whoever cheats and thereby dishonestly induces the person deceived to deliver any property.,"cheating, fraud, deceive, dishonest, scam, duped, conned, fake"
IPC 465,Forgery,Whoever commits forgery shall be punished with imprisonment up to 2 years or fine or both.,"forgery, fake document, forged, counterfeit, false document"
IPC 467,Forgery of Valuable Security,"Forgery of valuable security, will, or authority to make or transfer any valuable security.","forged cheque, fake will, forged security, counterfeit certificate"
IPC 498A,Cruelty by Husband or Relatives,Husband or relative subjecting woman to cruelty.,"dowry, domestic violence, cruelty, harassment, torture, marital abuse"
IPC 504,Intentional Insult with Intent to Provoke Breach of Peace,Whoever intentionally insults and thereby gives provocation.,"insult, provocation, abuse, verbal abuse"
IPC 506,Criminal Intimidation,Whoever commits criminal intimidation shall be punished with imprisonment up to 2 years or fine or both.,"threat, intimidation, threatening, blackmail, coercion"
IPC 509,"Word, Gesture or Act Intended to Insult the Modesty of a Woman","Insult modesty of woman by word, gesture or act.","insult woman, eve teasing, obscene gesture, verbal harassment"
IPC 511,Attempting to Commit Offences,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.,"attempt, tried to commit, attempted"
